timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1631478306.604,1,0,0,32510,0,44,42,31.53,16
1631478306.708,1,0,0,32510,0,44,41,31.42,16
1631478306.811,1,0,0,32510,0,44,41,31.43,16
1631478306.915,1,0,0,32510,0,44,41,31.43,16
1631478307.019,1,0,0,32491,19,44,41,34.52,16
1631478307.122,1,1,0,32191,319,44,41,37.81,16
1631478307.226,1,3,0,32191,319,44,41,38.1,16
1631478307.329,1,3,0,32083,427,44,41,40.5,16
1631478307.432,1,9,0,32045,465,44,41,38.09,16
1631478307.536,1,9,0,32035,475,44,41,38.37,16
1631478307.639,1,3,0,31923,587,45,41,95.79,16
1631478307.742,1,63,8,31923,587,45,42,115.64,16
1631478307.845,1,63,8,31923,587,46,42,116.18,16
1631478307.948,1,89,12,31923,587,46,42,119.24,16
1631478308.051,1,88,12,31923,587,46,42,122.54,16
1631478308.154,1,88,12,31923,587,47,42,122.03,16
1631478308.257,1,89,12,31923,587,47,42,122.28,16
1631478308.361,1,89,12,31923,587,47,42,108.06,16
1631478308.464,1,89,12,31923,587,47,43,123.33,16
1631478308.567,1,90,12,31923,587,47,43,119.47,16
1631478308.67,1,90,12,31923,587,47,43,123.49,16
1631478308.773,1,89,12,31923,587,47,43,121.97,16
1631478308.876,1,89,12,31923,587,47,43,122.3,16
1631478308.979,1,88,12,31923,587,47,43,108.25,16
1631478309.083,1,86,11,31923,587,47,43,121.33,16
1631478309.186,1,86,11,31923,587,47,43,123.76,16
1631478309.289,1,88,12,31923,587,48,43,123.42,16
1631478309.392,1,89,12,31923,587,48,43,121.64,16
1631478309.495,1,89,12,31923,587,48,43,108.56,16
1631478309.598,1,89,12,31923,587,48,43,122.19,16
1631478309.701,1,89,12,31923,587,48,43,121.9,16
1631478309.805,1,88,12,31923,587,48,43,123.81,16
1631478309.908,1,89,12,31923,587,48,43,122.21,16
1631478310.011,1,89,12,31923,587,48,43,123.28,16
1631478310.114,1,89,12,31923,587,48,43,120.21,16
1631478310.217,1,89,12,31923,587,48,43,122.59,16
1631478310.32,1,89,12,31923,587,48,43,120.59,16
1631478310.423,1,88,12,31923,587,48,43,116.7,16
1631478310.527,1,88,12,31923,587,48,43,123.76,16
1631478310.63,1,88,12,31923,587,48,43,116.2,16
1631478310.733,1,88,12,31923,587,48,43,121.05,16
